order_id,order_date,order_type,customer_id,channel,city,region,category,sub_category,sku_id,product,quantity,unit_price,discount_pct,gross_sales,discount_amount,net_sales,gst_rate,gst_amount,invoice_total,unit_cost,cogs,gross_profit,payment_mode
ORD202501633,27-05-2025,Sale,CUST00026,Store,Mysuru,South,Womenswear,Leggings & Bottoms,SKU1036,Premium Leggings & Bottoms,1,749,0.06,749,44.94,704.06,0.05,35.2,739.26,320,320,384.06,COD
ORD202401667,07-11-2024,Sale,CUST01458,Store,Delhi,North,Womenswear,Leggings & Bottoms,SKU1039,Festive Leggings & Bottoms,1,599,0,599,0,599,0.05,29.95,628.95,274,274,325,UPI
ORD202502066,20-07-2025,Sale,CUST01708,Store,Delhi,North,Womenswear,Leggings & Bottoms,SKU1036,Premium Leggings & Bottoms,2,749,0.37,1498,554.26,943.74,0.05,47.19,990.93,320,640,303.74,Credit Card
ORD202301766,31-12-2023,Sale,CUST00286,Store,Coimbatore,South,Kidswear,Kids Tops,SKU1045,Essential Kids Tops,1,699,0.24,699,167.76,531.24,0.05,26.56,557.8,308,308,223.24,UPI
ORD202501979,15-11-2025,Sale,CUST01248,Store,Bengaluru,South,Footwear,Sandals & Flats,SKU1063,Essential Sandals & Flats,1,1049,0.22,1049,230.78,818.22,0.05,40.91,859.13,601,601,217.22,Debit Card
ORD202300578,15-08-2023,Sale,CUST01105,Store,Delhi,North,Kidswear,Kids Tops,SKU1041,Heritage Kids Tops,2,749,0.07,1498,104.86,1393.14,0.05,69.66,1462.8,322,644,749.14,UPI
ORD202400790,20-04-2024,Sale,CUST00287,Store,Pune,West,Kidswear,Kids Ethnic,SKU1051,Everyday Kids Ethnic,1,1549,0.11,1549,170.39,1378.61,0.12,165.43,1544.04,878,878,500.61,UPI
ORD202501602,18-08-2025,Sale,CUST01801,Store,Mumbai,West,Menswear,T-Shirts,SKU1009,Classic T-Shirts,1,499,0,499,0,499,0.05,24.95,523.95,228,228,271,UPI
ORD202301545,18-07-2023,Sale,CUST00043,Store,Mysuru,South,Accessories,Handbags,SKU1076,Classic Handbags,1,2499,0.43,2499,1074.57,1424.43,0.12,170.93,1595.36,1435,1435,-10.57,Credit Card
ORD202501810,24-12-2025,Sale,CUST00352,Online,Ahmedabad,West,Footwear,Casual Shoes,SKU1060,Heritage Casual Shoes,3,1499,0,4497,0,4497,0.12,539.64,5036.64,918,2754,1743,Debit Card
ORD202300145,30-06-2023,Sale,CUST01400,Store,Kochi,South,Womenswear,Leggings & Bottoms,SKU1040,Everyday Leggings & Bottoms,1,499,0.2,499,99.8,399.2,0.05,19.96,419.16,242,242,157.2,UPI
ORD202300887,10-08-2023,Sale,CUST00503,Online,Chennai,South,Accessories,Caps & Scarves,SKU1089,Everyday Caps & Scarves,2,299,0.17,598,101.66,496.34,0.05,24.82,521.16,99,198,298.34,UPI
ORD202300230,03-07-2023,Sale,CUST01065,Online,Delhi,North,Accessories,Caps & Scarves,SKU1086,Essential Caps & Scarves,1,1049,0.4,1049,419.6,629.4,0.05,31.47,660.87,412,412,217.4,UPI
ORD202500425,02-03-2025,Sale,CUST01782,Online,Hyderabad,South,Menswear,Shirts,SKU1001,Signature Shirts,1,2149,0,2149,0,2149,0.12,257.88,2406.88,1180,1180,969,Credit Card
